,implementation,device_type,device_name,device_info,num_pages,map_batch_size,encode_batch_size,total_duration,throughput,min_duration,max_duration,mean_duration
3,create_embeddings_sequential,MPS,m3-max,m3-max-mps,1000,100.0,1000.0,247.77223254198907,4.035964763850338,17.401388917001896,34.378650124999695,24.03367872920062
4,create_embeddings_parallel_page,MPS,m3-max,m3-max-mps,1000,100.0,1000.0,228.46622016699985,4.377014681947464,11.901914332993329,29.113616457994794,22.11304713330173
5,create_embeddings_parallel_batch,MPS,m3-max,m3-max-mps,1000,100.0,1000.0,67.95902479099459,14.714749116478089,2.757536541990703,11.325305000005756,6.008715983500588
9,create_embeddings_sequential,CUDA,rtx-4090,rtx-4090-cuda,1000,100.0,1000.0,188.3925132260192,5.308066562073382,9.864557188004255,29.46253813011572,18.43356993533671
10,create_embeddings_parallel_page,CUDA,rtx-4090,rtx-4090-cuda,1000,100.0,1000.0,45.380948398960754,22.035678743613488,3.4234943059273064,5.089134408161044,4.099871359486133
11,create_embeddings_parallel_batch,CUDA,rtx-4090,rtx-4090-cuda,1000,10.0,1000.0,24.03447675914504,41.606897042994845,0.0363102511037141,1.2418507039546969,0.1935074247210286
12,create_embeddings_sequential,CUDA,rtx-4090,rtx-4090-cuda,5000,100.0,1000.0,994.7829352600966,5.026222126229675,7.355776490876451,41.05631630704738,19.803826822559348
13,create_embeddings_parallel_page,CUDA,rtx-4090,rtx-4090-cuda,5000,100.0,1000.0,207.6293034960981,24.08137924565143,3.3026222879998386,5.859481386840344,4.036378885945306
14,create_embeddings_parallel_batch,CUDA,rtx-4090,rtx-4090-cuda,5000,10.0,1000.0,104.53412756603213,47.83126923637068,0.0388324949890375,1.2960564950481055,0.1942237078305334
15,create_embeddings_parallel_page,CUDA,rtx-4090,rtx-4090-cuda,50000,1000.0,1000.0,1774.4695705620106,28.177434445474308,30.72697459394112,57.73582288692705,35.09485867723357
16,create_embeddings_parallel_batch,CUDA,rtx-4090,rtx-4090-cuda,50000,10.0,500.0,722.2194288070314,69.23103700296522,0.0330811021849513,3.896171391941607,0.1368736956728622
20,create_embeddings_sequential,CUDA,a100,a100-cuda,1000,100.0,1000.0,50.511659348383546,19.79740940805188,2.6452941726893187,7.723219372332096,4.932920461520553
21,create_embeddings_parallel_page,CUDA,a100,a100-cuda,1000,100.0,1000.0,29.373896284028888,34.043832330943374,1.6890865433961153,4.258179413154721,2.814694369211793
22,create_embeddings_parallel_batch,CUDA,a100,a100-cuda,1000,100.0,1000.0,24.18323518522084,41.35096037982265,1.2339102029800415,3.630253599956632,2.2953676452860234
23,create_embeddings_sequential,CUDA,a100,a100-cuda,5000,1000.0,1000.0,263.60818984918296,18.967544228654766,40.12282294780016,62.75354970805347,52.24163052327931
24,create_embeddings_parallel_page,CUDA,a100,a100-cuda,5000,1000.0,1000.0,142.3300096169114,35.12962595490409,22.800316836684942,32.688373072072864,28.0423240352422
25,create_embeddings_parallel_batch,CUDA,a100,a100-cuda,5000,1000.0,1000.0,102.54322223551571,48.75992670209125,16.01880633458495,23.73845813423395,20.091905187815428
26,create_embeddings_parallel_page,CUDA,a100,a100-cuda,50000,1000.0,1000.0,1065.03233342804,46.94693149743542,13.634426517412066,54.98637079447508,21.155522922500968
27,create_embeddings_parallel_batch,CUDA,a100,a100-cuda,50000,1000.0,1000.0,577.4295165520161,86.59065490549077,4.995810279622674,39.11978733353317,11.405137999877333
